epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,59945.2,1.03533,0.9117,1.34617,0.80594,0.78164,0.84142,0.5941,1.09051,0.80674,1.42487,0.000249805,0.000249805,0.000249805
26,62588.2,1.03465,0.91632,1.34509,0.83056,0.79577,0.85578,0.60562,1.07754,0.77121,1.41303,0.00024038,0.00024038,0.00024038
1,2143.65,1.23262,3.00022,1.53741,0.48792,0.54103,0.50624,0.32368,1.22773,2.52305,1.60801,0.000158276,0.000158276,0.000158276
2,4228.4,1.21146,2.06257,1.50257,0.57665,0.56766,0.58291,0.38353,1.24005,2.17945,1.62334,0.000304392,0.000304392,0.000304392
3,6290.15,1.19457,1.82157,1.48313,0.61293,0.6136,0.60976,0.40393,1.21915,1.90115,1.61048,0.000437941,0.000437941,0.000437941
4,8335.75,1.18432,1.67211,1.46879,0.65982,0.67319,0.67848,0.43284,1.27498,1.67816,1.63089,0.000419451,0.000419451,0.000419451
5,10381,1.15973,1.51126,1.45073,0.72294,0.6587,0.7113,0.48468,1.17594,1.41637,1.55304,0.000400602,0.000400602,0.000400602
6,12410.5,1.14678,1.4317,1.4304,0.6509,0.68911,0.69723,0.46607,1.19539,1.39242,1.54772,0.000381752,0.000381752,0.000381752
7,14467.2,1.13593,1.35182,1.42422,0.72847,0.71432,0.7612,0.52194,1.15241,1.23733,1.51374,0.000362902,0.000362902,0.000362902
8,16516,1.13253,1.29828,1.41906,0.77341,0.71074,0.77771,0.53888,1.1381,1.1213,1.5044,0.000344053,0.000344053,0.000344053
9,18554.9,1.10683,1.21561,1.40575,0.77864,0.72953,0.7977,0.55539,1.13013,1.03779,1.489,0.000325203,0.000325203,0.000325203
10,20651.6,1.10397,1.17876,1.39687,0.72721,0.75376,0.79296,0.55462,1.13675,1.07228,1.49528,0.000306354,0.000306354,0.000306354
11,22711.3,1.08689,1.13614,1.39291,0.76738,0.74597,0.79216,0.54961,1.12228,1.02499,1.4733,0.000287504,0.000287504,0.000287504
12,25006,1.08877,1.10882,1.38164,0.75975,0.76415,0.80983,0.56706,1.10858,1.00912,1.45817,0.000268654,0.000268654,0.000268654
13,28140.2,1.08519,1.09678,1.38638,0.77249,0.76589,0.8146,0.56824,1.11515,0.97033,1.46151,0.000249805,0.000249805,0.000249805
14,30439.5,1.07333,1.05294,1.37198,0.79273,0.77561,0.83181,0.57819,1.11037,0.91808,1.45781,0.000230955,0.000230955,0.000230955
15,36571.5,1.05934,1.02766,1.37163,0.75077,0.80109,0.81669,0.56702,1.09933,0.9214,1.44193,0.000212106,0.000212106,0.000212106
16,39745.7,1.03223,0.89331,1.42475,0.79472,0.79956,0.84137,0.58985,1.07657,0.86603,1.42759,0.000193256,0.000193256,0.000193256
17,42215.1,1.01696,0.85092,1.4073,0.79371,0.81003,0.84569,0.59706,1.08296,0.85445,1.41772,0.000174406,0.000174406,0.000174406
18,44478.4,1.00683,0.82086,1.40484,0.79508,0.79259,0.83832,0.59047,1.07554,0.87796,1.41828,0.000155557,0.000155557,0.000155557
19,46864.7,0.99789,0.79982,1.39525,0.80179,0.79021,0.83826,0.59317,1.06931,0.83851,1.41282,0.000136707,0.000136707,0.000136707
20,49157.4,0.98557,0.75683,1.38419,0.79928,0.8082,0.85245,0.60923,1.06254,0.81019,1.40764,0.000117858,0.000117858,0.000117858
21,51224.8,0.97309,0.74041,1.37063,0.8175,0.80909,0.85684,0.60888,1.05735,0.78859,1.39877,9.9008e-05,9.9008e-05,9.9008e-05
22,53277.7,0.96129,0.72291,1.36444,0.81374,0.81864,0.86178,0.61479,1.05573,0.7717,1.40078,8.01584e-05,8.01584e-05,8.01584e-05
23,55403.8,0.95583,0.70213,1.3637,0.81353,0.81245,0.85677,0.61188,1.05619,0.78162,1.39464,6.13088e-05,6.13088e-05,6.13088e-05
24,57460.5,0.94887,0.69368,1.35803,0.82861,0.80776,0.86127,0.61584,1.0533,0.76696,1.39918,4.24592e-05,4.24592e-05,4.24592e-05
25,59520.8,0.9414,0.67378,1.34306,0.82314,0.81481,0.86204,0.6157,1.05185,0.76004,1.39059,2.36096e-05,2.36096e-05,2.36096e-05
